Agency,Local Code,County,Township,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Unique Location Id,State Property Damage?,Traffic Control
BLOOMINGTON PD,60613233,MONROE,PERRY,BLOOMINGTON,6/6/13,5:35 PM,2,0,1,0,0,2602,E EASTGATE,LN,,,,E EASTGATE LN,,,,,Y,PRIVATE,,,39.168434,-86.498863,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,BRAKE FAILURE OR DEFECTIVE,$1001 TO $2500,LEFT TURN,EEASTGATELN,1,NONE
BLOOMINGTON PD,90913092,MONROE,BLOOMINGTON,BLOOMINGTON,9/9/13,10:54 AM,1,0,1,0,0,,N MORTON,ST,,,,N MORTON ST,W 6TH,,,,Y,OTHER,50,N,39.167664,-86.536,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,NMORTONSTW6THST,1,NONE
INDIANA UNIV BLOOMINGTON PD,132352,MONROE,BLOOMINGTON,BLOOMINGTON,9/10/13,6:45 PM,1,0,1,0,0,,FEE,LN,,,,FEE LN,EAST 17TH,,,,Y,OTHER,369,S,39.17802255,-86.51883073,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,VIEW OBSTRUCTED,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,EAST17THSTFEELN,1,NONE
BLOOMINGTON PD,91113126,MONROE,BLOOMINGTON,BLOOMINGTON,9/11/13,11:50 AM,1,0,1,0,0,,6TH,ST,,,,W 6TH ST,MORTON,,,,Y,OTHER,,,39.167664,-86.536,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,HEAD ON BETWEEN TWO MOTOR VEHICLES,NMORTONSTW6THST,1,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,132384,MONROE,BLOOMINGTON,BLOOMINGTON,9/13/13,4:38 AM,1,0,1,0,0,,KIRKWOOD,AVE,,,,KIRKWOOD AVE,INDIANA,,,,Y,OTHER,50,W,39.16664,-86.52707241,LOCAL/CITY ROAD,,N,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,HEAD ON BETWEEN TWO MOTOR VEHICLES,INDIANAAVEKIRKWOODAVE,1,NONE
BLOOMINGTON PD,100313002,MONROE,BLOOMINGTON,BLOOMINGTON,10/3/13,12:06 AM,1,0,1,0,0,,N GRANT,ST,,,,N GRANT ST,E 17TH,,,,Y,OTHER,,,39.17896484,-86.52969872,LOCAL/CITY ROAD,,N,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,WET,NONE,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT TURN,E17THSTNGRANTST,1,LANE CONTROL
ISP BLOOMINGTON 33,2.013E+11,MONROE,VAN BUREN,BLOOMINGTON,11/8/13,2:35 PM,1,0,1,0,0,,KIRBY,RD,,,,KIRBY RD,,SR45,,,N,OTHER,,,39.15134698,-86.61031799,COUNTY ROAD,,N,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,CONCRETE,DISREGARD SIGNAL/REG SIGN,$1001 TO $2500,HEAD ON BETWEEN TWO MOTOR VEHICLES,KIRBYRDSR45,1,OFFICER/CROSSING GUARD/FLAGMAN
BLOOMINGTON PD,111213135,MONROE,BLOOMINGTON,BLOOMINGTON,11/11/13,11:40 PM,1,0,1,0,0,,DUNN,ST,,,,DUNN ST,4TH,,,,Y,OTHER,,,39.16555971,-86.52822978,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT TURN,4THSTDUNNST,1,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,133344,MONROE,BLOOMINGTON,BLOOMINGTON,11/21/13,6:45 PM,1,0,0,0,0,,10TH,ST,,,,10TH ST,JORDAN,,,,Y,OTHER,100,W,39.17158999,-86.51565163,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,UNDER $1001,OPPOSITE DIRECTION SIDESWIPE,10THSTJORDANAVE,1,NONE
BLOOMINGTON PD,13114235,MONROE,PERRY,BLOOMINGTON,1/31/14,1:40 PM,1,0,1,0,0,4001,WEST 3RD,ST,,,,WEST 3RD ST,,,,,Y,OTHER,,,39.16460015,-86.58302865,LOCAL/CITY ROAD,,N,Y,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,WEST3RDST,1,NONE
INDIANA UNIV BLOOMINGTON PD,140665,MONROE,BLOOMINGTON,BLOOMINGTON,2/28/14,2:00 PM,1,0,1,0,0,,FEE,LN,,,,FEE LN,EAST 17TH,,,,Y,OTHER,307,S,39.17818781,-86.51884063,LOCAL/CITY ROAD,,N,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,EAST17THSTFEELN,1,NONE
INDIANA UNIV BLOOMINGTON PD,140851,MONROE,BLOOMINGTON,BLOOMINGTON,3/24/14,7:54 AM,1,0,1,0,0,,NORTH JORDAN (EXTENSION),AVE,,,,NORTH JORDAN (EXTENSION) AVE,17TH,,,,Y,OTHER,500,N,39.178848,-86.511088,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,PEDESTRIAN ACTION,$1001 TO $2500,SAME DIRECTION SIDESWIPE,17THSTNORTHJORDAN(EXTENSION)AVE,1,LANE CONTROL
MONROE SD,M14A1008,MONROE,VAN BUREN,BLOOMINGTON,4/1/14,8:41 PM,1,0,1,0,0,,W GIFFORD,RD,,,,W GIFFORD RD,PARK SQUARE,,,,N,OTHER,200,S,39.154448,-86.591696,LOCAL/CITY ROAD,,N,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,NONE,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,,RAN OFF ROAD,PARKSQUAREDRWGIFFORDRD,1,NONE
BLOOMINGTON PD,41714104,MONROE,BLOOMINGTON,BLOOMINGTON,4/17/14,1:15 PM,1,0,1,0,0,,DUNN,ST,,,,DUNN ST,KIRKWOOD,,,,Y,OTHER,,,39.16664,-86.528192,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,RIGHT ANGLE,DUNNSTKIRKWOODAVE,1,STOP SIGN
BLOOMINGTON PD,50614181,MONROE,PERRY,BLOOMINGTON,5/6/14,4:41 PM,1,0,1,0,0,520,WALNUT,ST,,,,SOUTH WALNUT ST,,,,,Y,PRIVATE,,,39.16101225,-86.5336,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,SOUTHWALNUTST,1,NONE
BLOOMINGTON PD,62214216,MONROE,PERRY,BLOOMINGTON,6/22/14,8:58 PM,1,0,2,0,0,,WALNUT STREET,PIKE,,,,WALNUT STREET PIKE,WINSLOW,,,,Y,PRIVATE,200,S,39.136144,-86.528688,LOCAL/CITY ROAD,,N,Y,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,UNDER $1001,HEAD ON BETWEEN TWO MOTOR VEHICLES,WALNUTSTREETPIKEWINSLOWRD,1,NONE
BLOOMINGTON PD,62314206,MONROE,RICHLAND,BLOOMINGTON,6/23/14,4:00 PM,1,0,1,0,0,3516,W 3RD,ST,,,,W 3RD ST,,,,,Y,PRIVATE,,,39.16482122,-86.5789551,OTHER,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,W3RDST,1,NONE
BLOOMINGTON PD,B1409216,MONROE,BLOOMINGTON,BLOOMINGTON,10/6/14,9:23 AM,1,0,1,0,0,,INDIANA,AVE,,,,INDIANA AVE,4TH,,,,Y,OTHER,,,39.165648,-86.526848,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,CURBED,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,4THSTINDIANAAVE,1,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,142908,MONROE,BLOOMINGTON,BLOOMINGTON,10/20/14,11:34 AM,1,0,2,0,0,,THIRD,,,,,THIRD,INDIANA,,,,Y,OTHER,,,39.164448,-86.5268,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT TURN,INDIANAAVETHIRDST,1,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,B1415372,MONROE,BLOOMINGTON,BLOOMINGTON,11/18/14,8:21 AM,1,0,1,0,0,2307,E 2ND,,,,,E 2ND,,,,,Y,,,,39.16099258,-86.50557049,OTHER,,N,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,ICE,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,E2NDST,1,NONE
INDIANA UNIV BLOOMINGTON PD,150134,MONROE,BLOOMINGTON,BLOOMINGTON,1/20/15,10:14 AM,1,0,1,0,0,,7TH,,,,,7TH,WOODLAWN,,,,N,,,,39.16864,-86.523392,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,LEFT TURN,7THSTWOODLAWNAVE,1,NONE
BLOOMINGTON PD,B1502515,MONROE,BLOOMINGTON,BLOOMINGTON,1/20/15,10:55 AM,1,0,1,0,0,,N WALNUT,,,,,N WALNUT,17TH,,,,Y,,276,N,39.178944,-86.533392,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,$5001 TO $10000,OTHER - EXPLAIN IN NARRATIVE,17THSTNWALNUTST,1,LANE CONTROL
BLOOMINGTON PD,B1505996,MONROE,PERRY,BLOOMINGTON,2/12/15,8:07 PM,1,0,1,0,0,2800,E THIRD,,,,,E THIRD,,,,,Y,,,,39.0803299,-86.51473999,OTHER,,Y,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,ETHIRDST,1,NONE
BLOOMINGTON PD,B1509698,MONROE,BLOOMINGTON,BLOOMINGTON,3/11/15,6:58 PM,1,0,1,0,0,1112,SUGAR MAPLE,,,,,SUGAR MAPLE,,,,,Y,,,,39.15650725,-86.58816576,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,UNKNOWN,CLEAR,LOOSE MATERIAL ON ROAD,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,BACKING CRASH,SUGARMAPLECT,1,NONE
BLOOMINGTON PD,B1521063,MONROE,BLOOMINGTON,BLOOMINGTON,5/23/15,1:13 PM,1,0,1,0,0,,GRANT,ST,,,,GRANT,6TH,,,,Y,,,,39.167712,-86.529696,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,LEFT TURN,6THSTGRANTST,1,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,152741,MONROE,BLOOMINGTON,BLOOMINGTON,10/17/15,3:50 PM,1,0,1,0,0,,E 18TH,ST,,,,E 18TH,N DUNN,,,,Y,,,,39.180352,-86.5284,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,E18THSTNDUNNST,1,NONE
INDIANA UNIV BLOOMINGTON PD,152990,MONROE,BLOOMINGTON,BLOOMINGTON,11/3/15,10:30 PM,2,0,2,0,0,,E 3RD,ST,,,,E 3RD,S FESS,,,,Y,,100,E,39.164448,-86.525792,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$5001 TO $10000,REAR END,E3RDSTSFESSAVE,1,LANE CONTROL
BLOOMINGTON PD,B1600245,MONROE,PERRY,BLOOMINGTON,1/2/16,10:55 PM,1,0,0,0,0,,WINSLOW,RD,,,,WINSLOW,HENDERSON,,,,Y,,,,39.136144,-86.5268,LOCAL/CITY ROAD,,N,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,$2501 TO $5000,COLLISION WITH OBJECT IN ROAD,HENDERSONSTWINSLOWRD,1,NONE
BLOOMINGTON PD,B1606544,MONROE,BLOOMINGTON,BLOOMINGTON,2/20/16,3:39 PM,1,0,1,0,0,,,,SR46E,,,SR46E,COLLEGE MALL,,,,Y,,,,39.16424,-86.4984,STATE ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,$1001 TO $2500,COLLISION WITH OBJECT IN ROAD,COLLEGEMALLRDSR46E,1,NONE
BLOOMINGTON PD,B1607018,MONROE,BLOOMINGTON,BLOOMINGTON,2/23/16,2:00 PM,1,0,1,0,0,1115,WALNUT,ST,,,,WALNUT,,,,,Y,,,,39.17698971,-86.53342171,LOCAL/CITY ROAD,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,WALNUTST,1,NONE
INDIANA UNIV BLOOMINGTON PD,161067,MONROE,BLOOMINGTON,BLOOMINGTON,4/18/16,10:20 PM,1,0,1,0,0,,JORDAN,AVE,,,,JORDAN,TENTH,,,,Y,,,,39.17158999,-86.51566028,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,COLLISION WITH OBJECT IN ROAD,JORDANAVETENTHST,1,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,B1617563,MONROE,BLOOMINGTON,BLOOMINGTON,5/8/16,1:49 PM,1,0,1,0,0,,2500 W 3RD COZY TABLE,ST,,,,2500 W 3RD COZY TABLE,KIMBLE,,,,Y,,100,W,39.16464,-86.568,OTHER,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,2500W3RDCOZYTABLESTKIMBLEDR,1,NONE
BLOOMINGTON PD,B1617954,MONROE,BLOOMINGTON,BLOOMINGTON,5/11/16,1:50 PM,1,0,0,0,0,,JOHNSON,AVE,,,,JOHNSON,3RD,,,,Y,,,,39.16464,-86.564992,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,UNDER $1001,RIGHT ANGLE,3RDSTJOHNSONAVE,1,STOP SIGN
BLOOMINGTON PD,B1637208,MONROE,BLOOMINGTON,BLOOMINGTON,9/17/16,2:29 AM,1,0,1,0,0,1719,WEST ARLINGTON,RD,,,,WEST ARLINGTON,,,,,Y,,,,39.18323906,-86.55010961,OTHER,,N,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,MUDDY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,GRAVEL,UNSAFE BACKING,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,WESTARLINGTONRD,0,NONE
BLOOMINGTON PD,B1639497,MONROE,BLOOMINGTON,BLOOMINGTON,10/2/16,9:20 PM,1,0,1,0,0,,17TH,ST,,,,17TH,WALNUT,,,,Y,,,,39.178944,-86.533392,LOCAL/CITY ROAD,,,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,UNDER $1001,RAN OFF ROAD,17THSTWALNUTST,1,NONE
INDIANA UNIV BLOOMINGTON PD,165647,MONROE,BLOOMINGTON,BLOOMINGTON,10/27/16,8:37 AM,1,0,1,0,0,,KIRKWOOD,AVE,,,,KIRKWOOD,INDIANA,,,,Y,,,,39.16664,-86.526896,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT TURN,INDIANAAVEKIRKWOODAVE,1,STOP SIGN
BLOOMINGTON PD,B1645569,MONROE,BLOOMINGTON,BLOOMINGTON,11/12/16,12:12 PM,1,0,1,0,0,,KIRKWOOD,AVE,,,,KIRKWOOD,COLLEGE,,,,Y,,,,39.16664,-86.5348,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,COLLISION WITH OBJECT IN ROAD,COLLEGEAVEKIRKWOODAVE,1,TRAFFIC CONTROL SIGNAL
MONROE SD,M16A25279,MONROE,VAN BUREN,BLOOMINGTON,11/9/16,12:54 PM,1,0,1,0,0,3585,W SR 45,HWY,,,,W SR 45,,,,,Y,,,,39.14186096,-86.5799179,OTHER,,Y,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,UNDER $1001,BACKING CRASH,WSR45HWY,1,NONE
INDIANA UNIV BLOOMINGTON PD,162964,MONROE,BLOOMINGTON,BLOOMINGTON,11/28/16,10:15 PM,1,0,1,0,0,,THIRD,ST,,,,THIRD,WOODLAWN,,,,Y,,,,0,0,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,$2501 TO $5000,COLLISION WITH OBJECT IN ROAD,THIRDSTWOODLAWNAVE,1,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,B1649718,MONROE,BLOOMINGTON,BLOOMINGTON,12/15/16,8:59 AM,1,0,1,0,0,,SMITH,RD,,,,SMITH,MORNINGSIDE,,,,Y,,,,39.166432,-86.4812,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,$1001 TO $2500,RIGHT ANGLE,MORNINGSIDEDRSMITHRD,1,STOP SIGN
BLOOMINGTON PD,B1711674,MONROE,PERRY,BLOOMINGTON,3/29/17,9:12 PM,1,0,1,0,0,,W 2ND,ST,,,,W 2ND,RANSOM,,,,Y,,120,E,39.15944,-86.555296,LOCAL/CITY ROAD,,,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,$1001 TO $2500,COLLISION WITH OBJECT IN ROAD,RANSOMLNW2NDST,1,NONE
INDIANA UNIV BLOOMINGTON PD,170788,MONROE,BLOOMINGTON,BLOOMINGTON,3/30/17,4:45 PM,1,0,1,0,0,,2ND,ST,,,,2ND,COLLEGE MALL,,,,Y,,,,39.16094,-86.4977,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT TURN,2NDSTCOLLEGEMALLRD,1,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,B17-37981,MONROE,BLOOMINGTON,BLOOMINGTON,9/16/17,12:26 AM,1,0,1,0,0,,E 17TH,ST,,,,E 17TH,N LINCOLN,,,,Y,,,,39.17904,-86.530848,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,E17THSTNLINCOLNST,1,NONE
BLOOMINGTON PD,B1738315,MONROE,PERRY,BLOOMINGTON,9/18/17,12:31 PM,1,0,1,0,0,,E VERMILYA,AVE,,,,E VERMILYA,S WALNUT,,,,Y,,,,39.148928,-86.53312,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,EVERMILYAAVESWALNUTST,1,STOP SIGN
BLOOMINGTON PD,B1742761,MONROE,BLOOMINGTON,BLOOMINGTON,10/17/17,5:42 PM,1,0,1,0,0,,1ST,ST,,,,W 1ST,B LINE,,,,Y,,,,0,0,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,BLINETRLW1STST,1,NONE
BLOOMINGTON PD,B1803402,MONROE,BLOOMINGTON,BLOOMINGTON,1/26/18,9:03 AM,1,0,1,0,0,,S ROGERS,ST,,,,S ROGERS,W 1ST,,,,Y,,,,39.17664,-86.538496,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,UNDER $1001,LEFT TURN,SROGERSSTW1STST,1,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,180358,MONROE,BLOOMINGTON,BLOOMINGTON,2/4/18,6:30 PM,1,0,1,0,0,,JORDAN,AVE,,,,JORDAN,JONES,,,,Y,,,,39.16545,-86.516425,LOCAL/CITY ROAD,,N,Y,URBAN,N,N,N,,DAWN/DUSK,SNOW,SNOW/SLUSH,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER PASSING,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,JONESAVEJORDANAVE,1,NONE
BLOOMINGTON PD,B1806575,MONROE,PERRY,BLOOMINGTON,2/18/18,9:59 AM,1,0,1,0,0,,MULLER,PKWY,,,,MULLER,3RD,,,,Y,,,,39.16442,-86.56292,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,COLLISION WITH OBJECT IN ROAD,3RDSTMULLERPKWY,1,STOP SIGN
BLOOMINGTON PD,B1811024,MONROE,PERRY,BLOOMINGTON,3/20/18,9:01 AM,1,0,1,0,0,,E MILLER,DR,,,,E MILLER,S WALNUT,,,,Y,,200,E,39.146944,-86.532544,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,PEDESTRIAN ACTION,$1001 TO $2500,COLLISION WITH OBJECT IN ROAD,EMILLERDRSWALNUTST,1,LANE CONTROL
INDIANA UNIV BLOOMINGTON PD,180817,MONROE,BLOOMINGTON,BLOOMINGTON,3/28/18,6:50 PM,1,0,1,0,0,1800,N FEE,LN,,,,N FEE,,,,,Y,,,,39.18217024,-86.51912929,OTHER,,Y,Y,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE LANE MOVEMENT,UNDER $1001,SAME DIRECTION SIDESWIPE,NFEELN,1,NONE
BLOOMINGTON PD,B1819636,MONROE,PERRY,BLOOMINGTON,5/15/18,1:37 PM,1,0,1,0,0,,KISSEL,DR,,,,W KISSEL,,,,,Y,,,,0,0,OTHER,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,WKISSELDR,1,NONE
