Agency,Local Code,County,Township,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Unique Location Id,State Property Damage?,Traffic Control,DateTime,Address Number,Cyclist Involved,Pedestrian Involved
ELLETTSVILLE PD,E22-01653,MONROE,RICHLAND,ELLETTSVILLE,2,,0,0,0,,S EDGEWOOD DR,,,,,S EDGEWOOD DR,W TEMPERANCE ST,,,,Y,,0.0,,39.16425,-86.51641,ST RD,,,,URBAN,Y,N,N,,DAWN/DUSK,RAIN,WET,,T-INTERSECTION,,ASPHALT,IMPROPER TURNING,$5001 TO $10000,LEFT/RIGHT TURN,WTEMPERANCESTSEDGEWOODDR,0,,2022-05-03 07:24:00,,,
BLOOMINGTON PD,B22-23475,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,2894,E 3RD ST,,,,,E 3RD ST,,,,,Y,,0.0,,39.13652700124446,-86.56334852413693,PRIVATE DR,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$1001 TO $2500,REAR TO REAR,E 3RDST,0,,2022-06-22 19:37:00,,,
ELLETTSVILLE PD,E2201858,MONROE,RICHLAND,ELLETTSVILLE,1,0.0,0,0,0,,,,ST RD 46 W,,,ST RD 46 W,LAKEVIEW,,,,Y,,,,39.17137299853424,-86.50721323967642,ST RD,,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,$5001 TO $10000,RAN OFF RD,LAKEVIEWDRST RD 46 W,0,NONE,2022-05-18 13:03:00,,,
BLOOMINGTON PD,B22-17747,MONROE,PERRY,BLOOMINGTON,2,,1,0,0,,E 3RD ST,,,,,E 3RD ST,S PETE LLIS DR,,,,Y,,0.0,,39.17156041190646,-86.51570915025384,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,SPETEELLISDRE 3RDST,0,,2022-05-14 16:14:00,,,
MONROE SD,M22A23413,MONROE,BLOOMINGTON,BLOOMINGTON,1,,1,0,0,,N KINSER PK,,,,,N KINSER PK,,,,,N,,0.0,,39.17606488690132,-86.50293060267016,COUNTY RD,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE SPEED,$5001 TO $10000,RAN OFF RD,NKINSERPK,0,,2022-09-23 10:18:00,,,
BLOOMINGTON PD,B22-34626,MONROE,VAN BUREN,BLOOMINGTON,2,,0,0,0,,W 3RD ST,,,,,W 3RD ST,N GATES DR,,,,Y,,0.0,,39.16461150089631,-86.58299634647848,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,UNDER $1001,REAR END,W 3RDSTNGATESDR,0,,2022-08-31 11:31:00,,,
BLOOMINGTON PD,B22-21670,MONROE,PERRY,BLOOMINGTON,1,,0,0,0,,E BILL MALLORY BLVD,,,,,E BILL MALLORY BLVD,S GRAYWELL DR,,,,Y,,0.0,,39.14899,-86.52382,,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$5001 TO $10000,OTHER - EXPLAIN IN NARRATIVE,SGRAYWELLDREBILLMALLORYBLVD,0,,2022-06-10 11:53:00,,,
BLOOMINGTON PD,B22-03112,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,1150,S CLARIZZ BLVD: THE MONROE,,,,,S CLARIZZ BLVD,,,,,Y,,0.0,,39.17899876600214,-86.52600668265409,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,SNOW,SNOW/SLUSH,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,$1001 TO $2500,REAR END,SCLARIZZBLVD:THEMONROE,0,,2022-01-28 13:35:00,,,
BLOOMINGTON PD,B22-29197,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,E WINDSOR DR,,,,,E WINDSOR DR,S WILTON DR,,,,Y,,200.0,,0.0,0.0,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$1001 TO $2500,BACKING CRASH,SWILTONDREWINDSORDR,0,,2022-07-30 09:33:00,,,
MONROE SD,M22A22988,MONROE,BLOOMINGTON,BLOOMINGTON,1,,0,0,0,,ST RD 46,,,,,ST RD 46,,,,,N,,0.0,,39.15334854344527,-86.53374493793028,ST RD,,,,RURAL,N,Y,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE SPEED,$25001 TO $50000,RAN OFF RD,STATERD46,0,,2022-09-18 21:41:00,,,
MONROE SD,M22A12313,MONROE,VAN BUREN,BLOOMINGTON,1,,0,0,0,,S GARRISON CHAPEL RD,,,,,S GARRISON CHAPEL RD,W HENDRICKS RD,,,,N,,1000.0,,39.17016,-86.50137,COUNTY RD,,,,RURAL,N,N,N,,DAYLIGHT,RAIN,WATER (STANDING OR MOVING),,NO JUNCTION INVOLVED,,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,$5001 TO $10000,RAN OFF RD,WHENDRICKSRDSGARRISONCHAPELRD,0,,2022-05-27 09:43:00,,,
MONROE SD,M22A24058,MONROE,VAN BUREN,BLOOMINGTON,3,,1,0,0,,S CURRY PK,,,,,S CURRY PK,W DOYLE AVE,,,,N,,0.0,,39.16453,-86.57303,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$25001 TO $50000,REAR END,WDOYLEAVESCURRYPK,0,,2022-09-30 13:10:00,,,
MONROE SD,M22A2833,MONROE,POLK,BLOOMINGTON,1,,0,0,1,,ST RD 446,,,,,ST RD 446,E TOWER RIDGE,,,,Y,,75.0,,39.15018,-86.48499,ST RD,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,ANIMAL/OBJECT IN RDWAY,$5001 TO $10000,COLLISION WITH DEER,STATERD446ETOWERRIDGE,0,,2022-02-06 04:44:00,,,
ISP BLOOMINGTON 33,2.022E+11,MONROE,RICHLAND,ELLETTSVILLE,1,,0,0,0,,ST RD 46,,,,,ST RD 46,DEER PARK DR,,,,Y,,400.0,,39.17919,-86.5474,ST RD,,,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,,$5001 TO $10000,RAN OFF RD,ST RD 46DEERPARKDR,0,,2022-03-22 18:24:00,,,
INDIANA UNIV BLOOMINGTON PD,222536,MONROE,BLOOMINGTON,BLOOMINGTON,2,,1,0,0,,ST RD 45,,,,,ST RD 45,E 10TH ST,,,,Y,,0.0,,39.1640303794368,-86.49275029048317,ST RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,UNDER $1001,REAR END,STATERD45E 10THST,0,,2022-08-03 10:53:00,,,
INDIANA UNIV BLOOMINGTON PD,220489,MONROE,BLOOMINGTON,BLOOMINGTON,4,,0,0,0,,E 3RD ST,,,,,E 3RD ST,S ARBUTUS DR,,,,Y,,0.0,,39.23631511262895,-86.62844349983138,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,$25001 TO $50000,REAR END,SARBUTUSDRE 3RDST,0,,2022-02-08 04:05:00,,,
MONROE SD,M22A16434,MONROE,RICHLAND,BLOOMINGTON,2,,0,0,0,,ST RD 46,,,,,ST RD 46,N CENTENNIAL DR,,,,N,,0.0,,39.16245716,-86.49649422,ST RD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,,ASPHALT,INSECURE/LEAKY LOAD,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,STATERD46NCENTENNIALDR,0,,2022-07-09 09:28:00,,,
BLOOMINGTON PD,B22-35443,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,218,W COUNTRY CLUB DR,,,,,W COUNTRY CLUB DR,,,,,N,,0.0,,39.221039995500604,-86.6054214640693,,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,IMPROPER TURNING,$2501 TO $5000,LEFT/RIGHT TURN,WCOUNTRYCLUBDR,0,,2022-09-04 16:30:00,,,
BLOOMINGTON PD,B22-09123,MONROE,VAN BUREN,BLOOMINGTON,1,,0,0,0,,4023 W 3RD ST,,,,,W 3RD ST,,,,,Y,,0.0,,39.164184170684706,-86.49496532784427,PRIVATE DR,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$1001 TO $2500,OTHER - EXPLAIN IN NARRATIVE,4023W.3RDST,0,,2022-03-18 10:55:00,4023.0,,
INDIANA UNIV BLOOMINGTON PD,222779,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,E 3RD ST,,,,,E 3RD ST,S WOODLAWN AVE,,,,Y,,317.0,,39.2276285618094,-86.54646771244917,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$5001 TO $10000,REAR END,SWOODLAWNAVEE 3RDST,0,,2022-08-23 13:30:00,,,
BLOOMINGTON PD,B22-25923,MONROE,BLOOMINGTON,BLOOMINGTON,1,,0,0,0,,1421 N WILLIS DR,,,,,N WILLIS DR,,,,,Y,,0.0,,39.164530788877656,-86.57622295545542,PRIVATE DR,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,WET,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$1001 TO $2500,BACKING CRASH,1421NWILLISDR,0,,2022-07-07 23:00:00,1421.0,,
BLOOMINGTON PD,B22-37895,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,W 15TH ST,,,,,W 15TH ST,N MADISON ST,,,,Y,,300.0,,39.15930061926152,-86.47555771750623,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,RIGHT ANGLE,W.15THSTN.MADISONST,0,,2022-09-19 08:55:00,,,
MONROE SD,M22A9933,MONROE,BLOOMINGTON,BLOOMINGTON,1,,0,0,0,,7590 S BREEDEN RD,,,,,S BREEDEN RD,,,,,N,,0.0,,39.153797645302106,-86.4929316491312,COUNTY RD,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE SPEED,$5001 TO $10000,RAN OFF RD,7590SBREEDENRD,0,,2022-05-02 00:30:00,7590.0,,
BLOOMINGTON PD,B22-26760,MONROE,BLOOMINGTON,BLOOMINGTON,2,,1,0,0,,W 3RD ST,,,,,W 3RD ST,S KIMBLE DR,,,,Y,,211.0,,39.14674,-86.51134,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,RIGHT ANGLE,W 3RDSTSKIMBLEDR,0,,2022-07-13 15:41:00,,,
BLOOMINGTON PD,B22-42354,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,528,S COLLEGE AVE,,,,,S COLLEGE AVE,,,,,Y,,0.0,,39.18826351432118,-86.56690575384604,PRIVATE DR,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,DISREGARD SIGNAL/REG SIGN,$1001 TO $2500,SAME DIRECTION SIDESWIPE,SCOLLEGEAVE,0,,2022-10-13 15:11:00,,,
MONROE SD,M22A20700,MONROE,CLEAR CREEK,BLOOMINGTON,1,,0,0,1,,S STRAIN RIDGE RD,,,,,S STRAIN RIDGE RD,E MORNING BROOK LN,,,,N,,0.0,,39.15893,-86.64721,COUNTY RD,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),FOG/SMOKE/SMOG,DRY,,T-INTERSECTION,,ASPHALT,ANIMAL/OBJECT IN RDWAY,$10001 TO $25000,COLLISION WITH DEER,SSTRAINRIDGERDEMORNINGBROOKLN,0,,2022-08-24 03:40:00,,,
BLOOMINGTON PD,B22-36073,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,E 3RD ST,,,,,E 3RD ST,S KINGSTON DR,,,,Y,,0.0,,39.1580450173059,-86.58264854274435,LOCAL/CITY RD,,,,URBAN,N,N,Y,LN CLOSURE,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,S.KINGSTONDRE 3RDST,0,,2022-09-08 12:58:00,,,
MONROE SD,M22A25085,MONROE,VAN BUREN,BLOOMINGTON,2,,0,0,0,,W ST RD 45,,,,,W ST RD 45,S DINSMORE RD,,,,N,,0.0,,39.01483,-86.40133,ST RD,,,,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,Y-INTERSECTION,,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,$25001 TO $50000,REAR END,WSTATERD45SDINSMORERD,0,,2022-10-12 15:58:00,,,
INDIANA UNIV BLOOMINGTON PD,223621,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,ST RD 46,,,,,ST RD 46,E 10TH ST,,,,Y,,0.0,,39.21208747279119,-86.58719187938723,ST RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,STATERD46E 10THST,0,,2022-09-28 09:30:00,,,
BLOOMINGTON PD,B22-14324,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,S GRANT ST,,,,,S GRANT ST,E 4TH ST,,,,Y,,0.0,,39.176786484143385,-86.47850881636104,LOCAL/CITY RD,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$2501 TO $5000,BACKING CRASH,SGRANTSTE4THST,0,,2022-04-22 09:35:00,,,
MONROE SD,M22A3364,MONROE,VAN BUREN,BLOOMINGTON,2,,0,0,0,3585,W ST RD 45,,,,,W ST RD 45,,,,,N,,0.0,,39.16426508857751,-86.5122031036893,ST RD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,WSTATERD45,0,,2022-02-12 12:47:00,,,
MONROE SD,M22A10046,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,ST RD 46,,,,,ST RD 46,,,,,N,,0.0,,39.209937802639026,-86.58274319697352,,,,,URBAN,N,Y,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE LN MOVEMENT,$2501 TO $5000,SAME DIRECTION SIDESWIPE,STATERD46,0,,2022-05-03 09:10:00,,,
BLOOMINGTON PD,B22-40901,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,W PATTERSON DR,,,,,W PATTERSON DR,S FAIRVIEW ST,,,,Y,,0.0,,39.1355685,-86.5319166,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,IMPROPER LN USAGE,$2501 TO $5000,RIGHT ANGLE,WPATTERSONDRSFAIRVIEWST,0,,2022-10-05 16:15:00,,,
BLOOMINGTON PD,B22-06071,MONROE,PERRY,BLOOMINGTON,2,,1,0,0,,S HIGH ST,,,,,S HIGH ST,E COVENANTER DR,,,,Y,,0.0,,39.15828991079987,-86.49615385848627,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$10001 TO $25000,RIGHT ANGLE,SHIGHSTECOVENANTERDR,0,,2022-02-23 15:25:00,,,
MONROE SD,M22A24772,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,S VICTOR PK,,,,,S VICTOR PK,ST RD 37,,,,N,,0.0,,-3.175729616732725e-05,-9.076054649605275e-06,ST RD,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,DRIVER ASLEEP OR FATIGUED,$10001 TO $25000,REAR END,STATERD37SVICTORPK,0,,2022-10-09 00:22:00,,,
ELLETTSVILLE PD,E22-04153,MONROE,RICHLAND,ELLETTSVILLE,2,,2,0,0,,ST RD 46,,,,,ST RD 46,FLATWOODS RD,,,,Y,,1380.0,,39.3361344,-86.51086507,ST RD,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$5001 TO $10000,RAN OFF RD,STATERD46FLATWOODSRD,0,,2022-10-11 23:34:00,,,
INDIANA UNIV BLOOMINGTON PD,220624,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,E COTTAGE GROVE AVE,,,,,E COTTAGE GROVE AVE,N WALNUT GROVE AVE,,,,Y,,50.0,,39.16422919696908,-86.52265013894717,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,NWALNUTGROVEAVEECOTTAGEGROVEAVE,0,,2022-02-17 14:30:00,,,
ISP BLOOMINGTON 33,2.022E+11,MONROE,INDIAN CREEK,BLOOMINGTON,1,,1,0,0,,I-69,,,,,I-69,,,105.5,,N,,0.0,,39.182524679204015,-86.54537290287624,INTERSTATE,,,,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,CONCRETE,,$10001 TO $25000,RAN OFF RD,I-69105.5,0,,2022-04-16 10:31:00,,,
ISP BLOOMINGTON 33,2.022E+11,MONROE,WASHINGTON,BLOOMINGTON,1,,0,0,0,,I-69,,,,,I-69,,,129.5,,N,,0.0,,39.17656170209694,-86.53774842583961,INTERSTATE,,,,RURAL,N,N,N,,DAWN/DUSK,CLOUDY,WET,,NO JUNCTION INVOLVED,,ASPHALT,,$2501 TO $5000,RAN OFF RD,I-69129.5,0,,2022-04-16 07:03:00,,,
MONROE SD,M22A16825,MONROE,BENTON,BLOOMINGTON,2,,0,0,0,,ST RD 45,,,,,ST RD 45,E RATLIFF RD,,,,N,,0.0,,0.0,0.0,ST RD,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$10001 TO $25000,LEFT TURN,STATERD45ERATLIFFRD,0,,2022-07-13 16:48:00,,,
BLOOMINGTON PD,B2203164,MONROE,CLEAR CREEK,BLOOMINGTON,1,,0,0,0,,E GARDEN PATH,,,,,E GARDEN PATH,,,,,Y,,0.0,,39.16448935175082,-86.56802471427036,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAWN/DUSK,SNOW,ICE,,TRAFFIC CIRCLE/ROUNDABOUT,,ASPHALT,RDWAY SURFACE CONDITION,$2501 TO $5000,RAN OFF RD,EGARDENPATH,0,,2022-01-28 17:26:00,,,
BLOOMINGTON PD,B22-06459,MONROE,RICHLAND,,2,,0,0,0,3870,W 3RD ST,,,,,W 3RD ST,,,,,Y,,0.0,,39.16114925176598,-86.53564279434295,PRIVATE DR,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$1001 TO $2500,BACKING CRASH,WEST3RDST,0,,2022-02-26 15:45:00,,,
BLOOMINGTON PD,B22-08488,MONROE,VAN BUREN,BLOOMINGTON,2,,0,0,0,,W BLOOMFIELD RD,,,,,W BLOOMFIELD RD,S ROLLING RIDGE WAY,,,,Y,,0.0,,39.02865,-86.52142,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO MAINTAIN LN,UNDER $1001,SAME DIRECTION SIDESWIPE,WBLOOMFIELDRDSROLLINGRIDGEWAY,0,,2022-03-14 11:00:00,,,
MONROE SD,M22A24829,MONROE,BLOOMINGTON,BLOOMINGTON,1,,0,0,0,3715,E XETER LN,,,,,E XETER LN,,,,,N,,0.0,,39.16419160632779,-86.49306252722958,LOCAL/CITY RD,,,,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$25001 TO $50000,RAN OFF RD,EEXETERLN,0,,2022-10-10 05:56:00,,,
ISP BLOOMINGTON 33,2.022E+11,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,W 3RD ST,,,,,W 3RD ST,I-69 - 118 - B,,,,Y,,50.0,,39.11324,-86.63471,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,CONCRETE,UNSAFE SPEED,$1001 TO $2500,REAR END,W 3RDSTI-69-118-B,0,,2022-08-12 13:25:00,,,
MONROE SD,M22A23485,MONROE,RICHLAND,BLOOMINGTON,1,,0,0,0,7650,W VERNAL PK,,,,,W VERNAL PK,,,,,N,,0.0,,39.171610670037545,-86.50216135855952,PRIVATE DR,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,Y-INTERSECTION,,ASPHALT,RDWAY SURFACE CONDITION,$5001 TO $10000,RAN OFF RD,WVERNALPK,0,,2022-09-23 23:34:00,,,
MONROE SD,M22A2740,MONROE,BEAN BLOSSOM,BLOOMINGTON,2,,0,0,0,,N MATHEWS DR,,,,,N MATHEWS DR,W DELAP RD,,,,N,,0.0,,39.16556,-86.52981,LOCAL/CITY RD,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,SNOW/SLUSH,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$10001 TO $25000,RIGHT ANGLE,WDELAPRDNMATHEWSDR,0,,2022-02-04 19:05:00,,,
MONROE SD,M22A11665,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,N BUTCHER RD,,,,,N BUTCHER RD,W OLD CAPITOL PK,,,,N,,0.0,,39.14347573,-86.58053686,PRIVATE DR,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$1001 TO $2500,REAR TO REAR,WOLDCAPITOLPKNBUTCHERRD,0,,2022-05-20 15:06:00,,,
BLOOMINGTON PD,B22-09561,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,E HUNTER AVE,,,,,E HUNTER AVE,S FACULTY AVE,,,,Y,,158.0,,39.18747098807315,-86.56491834014739,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,DRIVER ILLNESS,$5001 TO $10000,REAR END,SFACULTYAVEEHUNTERAVE,0,,2022-03-21 16:17:00,,,
MONROE SD,M22A23030,MONROE,RICHLAND,ELLETTSVILLE,2,,0,0,0,3585,W ST RD 46,,,,,W ST RD 46,,,,,N,,0.0,,39.15380399368634,-86.54113790545254,,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,IMPROPER TURNING,$5001 TO $10000,SAME DIRECTION SIDESWIPE,WST RD 46,0,,2022-09-19 10:04:00,,,
INDIANA UNIV BLOOMINGTON PD,221683,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,E 7TH ST,,,,,E 7TH ST,N INDIANA AVE,,,,Y,,0.0,,39.15361169453068,-86.50844945042672,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,RIGHT ANGLE,NINDIANAAVEE7THST,0,,2022-04-29 11:00:00,,,
INDIANA UNIV BLOOMINGTON PD,222216,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,ST RD 45,,,,,ST RD 45,WALKWAY,,,,Y,,0.0,,39.10550781203779,-86.55144539088539,ST RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$1001 TO $2500,REAR END,WALKWAYSTATERD45,0,,2022-06-23 07:05:00,,,
ELLETTSVILLE PD,E2203775,MONROE,RICHLAND,ELLETTSVILLE,2,0.0,0,0,0,,,,ST RD 46 W,,,ST RD 46 W,SMITH,,,,Y,,200.0,W,39.28191,-86.70364,ST RD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,UNDER $1001,REAR END,SMITHPKST RD 46 W,0,TRAFFIC CONTROL SIGNAL,2022-09-22 07:53:00,,,
BLOOMINGTON PD,B22-32535,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,1820,N WALNUT ST,,,,,N WALNUT ST,,,,,Y,,0.0,,39.17248025557021,-86.5210051351357,PRIVATE DR,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$1001 TO $2500,REAR END,NWALNUTST,0,,2022-08-19 18:58:00,,,
BLOOMINGTON PD,B22-36467,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,1800,S WALNUT ST,,,,,S WALNUT ST,,,,,Y,,0.0,,39.05725933647787,-86.68121268267532,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$2501 TO $5000,OPPOSITE DIRECTION SIDESWIPE,SWALNUTST,0,,2022-09-10 13:59:00,,,
