Agency,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control
BLOOMINGTON PD,BLOOMINGTON,3/31/2020,5:41 PM,2,0,0,0,0,,,,S WALNUT ST,E GRIMES LN,,50,N,39.1586357,-86.53371,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,SAME DIRECTION SIDESWIPE,EGRIMESLNSWALNUTST,NONE
BLOOMINGTON PD,BLOOMINGTON,3/31/2020,6:21 PM,2,0,0,0,0,,,,SR 48,S LIBERTY DR,,,,39.16461,-86.57913,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,SLIBERTYDRW3RDST,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,3/31/2020,7:17 PM,2,0,2,0,0,,,,S WALNUT ST,W GORDON PIKE,,,,39.12146,-86.53135,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,SWALNUTSTWGORDONPIKE,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,4/1/2020,2:10 PM,1,0,0,0,0,101,,,MUSICAL ARTS CENTER CIRCLE,,,,,39.167455,-86.516706,UNKNOWN,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NJORDANAVE,NONE
BLOOMINGTON PD,BLOOMINGTON,4/1/2020,6:18 PM,2,0,0,0,0,,,,W TAPP RD,S ROCKPORT RD,,,,39.136448,-86.548704,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SROCKPORTRDWTAPPRD,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,4/1/2020,6:53 PM,2,0,0,0,0,1596,,,S OAKDALE DR,,,,,39.14638,-86.5721,UNKNOWN,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,BACKING CRASH,SOAKDALEDR,NONE
MONROE SD,BLOOMINGTON,4/1/2020,7:16 PM,1,0,0,0,0,,,,I-69 S,,,200,S,39.20092007,-86.5495,INTERSTATE,N,RURAL,N,Y,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,I122SI69S,LANE CONTROL
MONROE SD,ELLETTSVILLE,4/1/2020,9:31 PM,1,0,0,0,0,,,,N LIBERTY HOLLOW RD,,,300,N,39.319424,-86.59912,COUNTY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,T-INTERSECTION,CURVE/LEVEL,ASPHALT,UNSAFE SPEED,RAN OFF ROAD,NBOWMANRDNLIBERTYHOLLOWRD,NONE
BLOOMINGTON PD,BLOOMINGTON,4/2/2020,2:18 AM,3,0,0,0,0,,,,N WALNUT ST,W 16TH ST,,,,39.17784,-86.533408,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER LANE USAGE,SAME DIRECTION SIDESWIPE,16THSTWALNUTST,NONE
BLOOMINGTON PD,BLOOMINGTON,4/2/2020,9:27 AM,2,0,0,0,0,,,,SR 48,S GATES DR,,,,39.16459,-86.5762,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,HEAD ON BETWEEN TWO MOTOR VEHICLES,SGATESDRW3RDST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,4/2/2020,1:25 PM,2,0,0,0,0,,,,S SARE RD,E RHORER RD,,,,39.12145,-86.51158,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,ERHORERRDSSARERD,STOP SIGN
MONROE SD,BLOOMINGTON,4/3/2020,10:08 AM,2,0,0,0,0,,,,SR 37,S OLD SR 37,,750,S,39.08391909,-86.54083579,STATE ROAD,N,RURAL,N,N,Y,LANE CLOSURE,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SOUTHOLDSTATEROAD37RDSR37S,NONE
BLOOMINGTON PD,BLOOMINGTON,4/3/2020,3:10 PM,1,0,0,0,0,1003,,,W COTTAGE GROVE AVE,,,180,W,39.17261,-86.54492134,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,NORRISDRWCOTTAGEGROVERD,NONE
BLOOMINGTON PD,BLOOMINGTON,4/3/2020,3:13 PM,1,0,0,0,0,,,,N MONROE ST,W 11TH ST,,,,39.173344,-86.547104,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RAN OFF ROAD,NMONROESTW11THST,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,4/3/2020,3:17 PM,1,0,1,0,0,,,,N MAPLE GROVE RD,,,1000,N,39.32006831,-86.56154,LOCAL/CITY ROAD,Y,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/HILLCREST,ASPHALT,UNSAFE SPEED,RAN OFF ROAD,MAPLEGROVERDWSTANTONCT,NONE
BLOOMINGTON PD,BLOOMINGTON,4/4/2020,6:30 AM,1,0,0,0,0,,,,W GOURLEY PIKE,N KINSER PIKE,,,,39.185392,-86.537856,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,BRAKE FAILURE OR DEFECTIVE,RAN OFF ROAD,NKINSERPIKEWGOURLEYPIKE,NONE
BLOOMINGTON PD,BLOOMINGTON,4/4/2020,12:16 PM,2,0,0,0,0,,,,W 11TH ST,N COLLEGE AVE,,,,39.173232,-86.534752,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,11THSTCOLLEGEAVE,TRAFFIC CONTROL SIGNAL
MONROE SD,BLOOMINGTON,4/4/2020,4:08 PM,1,0,0,0,0,,,,S WALNUT ST PIKE,,,2000,N,39.31836883,-86.52648,COUNTY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,FAIRFAXRDWALNUTSTREETPIKE,NONE
BLOOMINGTON PD,BLOOMINGTON,4/5/2020,12:44 PM,2,0,0,0,0,,,,E 3RD ST,S COLLEGE MALL RD,,,,39.16424,-86.4984,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,3RDSTCOLLEGEMALLRD,LANE CONTROL
MONROE SD,BLOOMINGTON,4/6/2020,6:57 AM,1,0,0,0,0,,,,SR 45,N RUSSELL RD (N),,1900,S,39.19513632,-86.46778315,STATE ROAD,N,RURAL,N,N,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/HILLCREST,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,NRUSSELLRDSR45E,NONE
ISP BLOOMINGTON 33,BLOOMINGTON,4/6/2020,8:47 AM,2,,0,0,0,,,,SR 46,S SMITH RD,,0,S,39.164233,-86.481195,STATE ROAD,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SMITHROADSR46,
BLOOMINGTON PD,BLOOMINGTON,4/6/2020,11:30 PM,1,0,0,0,0,,,,W KIRKWOOD AVE,N HOPEWELL ST,,,,39.16685,-86.5523,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,NHOPEWELLSTWKIRKWOODAVE,NONE
BLOOMINGTON PD,BLOOMINGTON,4/7/2020,3:10 PM,2,0,0,0,0,3011,,,S LEONARD SPRINGS RD,ENTRANCE TO WOODLAND SPRINGS APARTMENTS (MIDDLE),,200,N,0,0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,CONCRETE,FOLLOWING TOO CLOSELY,REAR END,SOUTHLEONARDSPRINGSRDWESTMAYBURYMALL,NONE
BLOOMINGTON PD,BLOOMINGTON,4/7/2020,3:15 PM,2,0,0,0,0,,,,S COLLEGE AVE,W 2ND ST,,,,39.16138,-86.53493,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,CONCRETE,DISREGARD SIGNAL/REG SIGN,HEAD ON BETWEEN TWO MOTOR VEHICLES,SCOLLEGEAVEW2NDST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,4/7/2020,3:27 PM,2,0,0,0,0,,,Y,SR 45/46,I-69 S,,,,0,0,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,RAMP,CURVE/GRADE,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,4546BYPASSANDI69SBRAMP,NONE
ELLETTSVILLE PD,ELLETTSVILLE,4/7/2020,4:49 PM,2,1,0,0,0,8273,,,SR 46,ENTRANCE TO RICHARD'S SMALL ENGINE INC,,500,W,39.25241,-86.65397667,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,IMPROPER PASSING,SAME DIRECTION SIDESWIPE,SR46WWESTFLASTWOODSRD,LANE CONTROL
BLOOMINGTON PD,BLOOMINGTON,4/7/2020,5:30 PM,1,0,0,0,0,,,,N KINSER PIKE,SR 45/46,,,,39.20640071,-86.57129307,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,RAN OFF ROAD,NKINSERPIKESTATEROAD46RD,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,4/7/2020,6:38 PM,2,0,0,0,0,3016,,,E AMY LN,,,,,39.16936,-86.497952,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,EAMYLN,NONE
ISP BLOOMINGTON 33,BLOOMINGTON,4/8/2020,8:54 AM,1,,1,0,0,,,,I-69 S,,,0,S,39.17869365,-86.55962658,INTERSTATE,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,119.5I-69,
ELLETTSVILLE PD,ELLETTSVILLE,4/8/2020,10:05 AM,2,0,0,0,0,,,,SR 46,S 1ST ST,,,,0,0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SAME DIRECTION SIDESWIPE,FIRSTSTTEMPERANCEST,LANE CONTROL
ISP BLOOMINGTON 33,BLOOMINGTON,4/8/2020,9:33 PM,1,,0,0,1,,,,I-69 N,,,0,S,39.29209483,-86.51760977,INTERSTATE,,RURAL,N,Y,N,,DARK (NOT LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,,CONCRETE,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH ANIMAL OTHER,,
BLOOMINGTON PD,BLOOMINGTON,4/8/2020,11:25 PM,2,0,0,0,0,,,,W ARLINGTON VALLEY DR,N BITTERSWEET DR,,,,39.1828,-86.544416,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,WET,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,IMPROPER TURNING,REAR END,ARLINGTONVALLEYDRBITTERSWEETDR,NONE
MONROE SD,BLOOMINGTON,4/9/2020,1:03 PM,2,0,0,0,0,,,,N MT GILEAD RD,,,1500,W,39.189552,-86.441296,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,LEFT OF CENTER,OPPOSITE DIRECTION SIDESWIPE,ECOLLINSLNNMTGILEADRD,NONE
MONROE SD,BLOOMINGTON,4/10/2020,5:08 AM,2,0,0,0,0,7401,,,S WALNUT ST,HAZEL ST,,,,39.06956,-86.50617,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,NON-ROADWAY CRASH,GRAVEL,HEADLIGHT DEFECTIVE OR NOT ON,SAME DIRECTION SIDESWIPE,SWANUTST,NONE
MONROE SD,BLOOMINGTON,4/10/2020,5:11 PM,2,0,0,0,0,,,,SR 45,N MT GILEAD RD (SW),,1000,E,39.18552,-86.46895646,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,INSECURE/LEAKY LOAD,OTHER - EXPLAIN IN NARRATIVE,MTGILEADRDSR45E,NONE
ISP BLOOMINGTON 33,BLOOMINGTON,4/10/2020,7:45 PM,1,,0,0,1,7299,,,I-69 S,,,158,W,39.06892656,-86.67311866,INTERSTATE,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,ANIMAL/OBJECT IN ROADWAY,RIGHT ANGLE,,
MONROE SD,ELLETTSVILLE,4/11/2020,12:43 PM,1,0,1,0,0,,,,N MATTHEWS DR,W MAPLE GROVE RD,,,,39.245408,-86.6204,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE SPEED,NON-COLLISION,MATTHEWSDRWMAPLEGROVERD,NONE
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,4/11/2020,5:36 PM,2,0,0,0,0,,,,S SWAIN AVE,E 3RD ST,,,,39.16425,-86.51526,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,LEFT TURN,SWAINAVETHIRDST,LANE CONTROL
MONROE SD,BLOOMINGTON,4/11/2020,7:58 PM,2,0,0,0,0,4111,,,GARDEN HILL MOBILE HOME PARK,,,,,39.179248,-86.58292,UNKNOWN,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER LANE USAGE,SAME DIRECTION SIDESWIPE,WVERNALPIKE,NONE
MONROE SD,BLOOMINGTON,4/12/2020,5:57 AM,1,0,0,0,0,,,,SR 46,,,1000,E,39.16355934,-86.42589328,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,SR46ETRAILWAYDR,NONE
ELLETTSVILLE PD,ELLETTSVILLE,4/12/2020,12:11 PM,1,0,0,0,0,,,,E CHESTER DR,E TECUMSEH DR,,,,39.22426,-86.62109,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,CHESTERDRTECUMSEHST,LANE CONTROL
BLOOMINGTON PD,BLOOMINGTON,4/12/2020,2:15 PM,2,0,0,0,0,,,,N MONROE ST,W 11TH ST,,,,39.173344,-86.547104,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,OPPOSITE DIRECTION SIDESWIPE,NMONROESTW11THST,STOP SIGN
MONROE SD,BLOOMINGTON,4/12/2020,4:41 PM,1,0,0,0,0,,,,S STRAIN RIDGE RD,S ANNE AVE,,180,E,39.04934,-86.51105557,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,SANNEAVESSTRAINRIDGERD,NONE
BLOOMINGTON PD,BLOOMINGTON,4/13/2020,1:00 AM,2,0,0,0,0,,,,S ALLENDALE DR,E BRADSHIRE ST,,100,S,39.12543328,-86.51592,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,WET,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,EWINSLOWRDSALLENDALEDR,NONE
BLOOMINGTON PD,BLOOMINGTON,4/13/2020,4:20 PM,2,0,1,0,0,,,,S LIBERTY DR,ENTRANCE TO WHITEHALL PLAZA (S),,100,S,39.15403556,-86.57913,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,INTERCHANGE,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,SLIBERTYDRW3RDST,STOP SIGN
MONROE SD,BLOOMINGTON,4/13/2020,5:27 PM,2,0,0,0,0,,,,E MOFFETT LN,,,200,E,39.09984,-86.5176,COUNTY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,IMPROPER LANE USAGE,SAME DIRECTION SIDESWIPE,FAIRFAXRDMOFFETTLN,NONE
BLOOMINGTON PD,BLOOMINGTON,4/14/2020,10:37 AM,1,0,0,0,0,,,,W JONATHAN DR,N GATES DR,,,,39.16876,-86.57642,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,OTHER - EXPLAIN IN NARRATIVE,NGATESDRWALEXANDERST,STOP SIGN
ISP BLOOMINGTON 33,BLOOMINGTON,4/14/2020,12:40 PM,2,,1,0,0,,,,SR 45/46,,,950,W,39.18696141,-86.54877331,STATE ROAD,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,CONCRETE,UNSAFE SPEED,REAR END,,
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,4/14/2020,3:50 PM,2,0,0,0,0,,,,E 12TH ST,,,140,W,39.17428,-86.52353788,UNKNOWN,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,TWELVETHSTWOODLAWNAVE,NONE
BLOOMINGTON PD,BLOOMINGTON,4/14/2020,4:05 PM,1,0,0,0,0,,,,W COUNTRY CLUB DR,BLOOMINGTON RAIL TRAIL (ENTRANCE TO BLOOMINGTON RAIL TRAIL PARKING LOT),,,,0,0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,RAN OFF ROAD,300WCOUNTRYCLUBRDBLINETRL,NONE
MONROE SD,BLOOMINGTON,4/14/2020,4:47 PM,2,0,1,1,0,,,,N CURRY PIKE,W WOODYARD RD,,100,S,39.190672,-86.582992,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,LEFT OF CENTER,HEAD ON BETWEEN TWO MOTOR VEHICLES,NCURRYPIKEWWOODYARDRD,NONE
BLOOMINGTON PD,BLOOMINGTON,4/15/2020,8:45 AM,2,0,0,0,0,,,,N MADISON ST,W 17TH ST,,,,39.178992,-86.537792,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,NMADISONSTW17THST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,4/15/2020,9:54 AM,2,0,2,0,0,,,,W 3RD ST,S WALNUT ST,,,,39.16464,-86.5336,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,SWALNUTSTW3RDST,TRAFFIC CONTROL SIGNAL
MONROE SD,BLOOMINGTON,4/15/2020,1:00 PM,2,0,0,0,0,2054,,,E WATERS EDGE DR,,,,,0,0,UNKNOWN,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,CONCRETE,DRIVER ASLEEP OR FATIGUED,SAME DIRECTION SIDESWIPE,EWATERSEDGEDR,NONE
MONROE SD,BLOOMINGTON,4/15/2020,1:40 PM,2,1,0,0,0,,,,SR 46,N LOWER BIRDIE GALYAN RD,,,,0,0,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,CURVE/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NLOWERBIRDIEGALYANRDSR46E,NONE
ISP BLOOMINGTON 33,BLOOMINGTON,4/15/2020,5:15 PM,1,,1,0,0,,,,SR 45,E MARTIN DR,,422,S,39.20405521,-86.4634747,STATE ROAD,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE SPEED,RAN OFF ROAD,,
BLOOMINGTON PD,BLOOMINGTON,4/15/2020,5:50 PM,2,1,1,0,0,,,,I-69 S,SR 45,,,,39.1474,-86.57324,INTERSTATE,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,RAMP,CURVE/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,I69SWBLOOMFIELDRD,NONE
ISP BLOOMINGTON 33,BLOOMINGTON,4/15/2020,11:00 PM,1,,0,0,0,,,,I-69 S,,,0,S,39.07181808,-86.60620853,INTERSTATE,,RURAL,N,Y,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH ANIMAL OTHER,,
MONROE SD,BLOOMINGTON,4/15/2020,11:05 PM,2,0,0,0,0,,,,S FAIRFAX RD,,,2000,S,0,0,LOCAL/CITY ROAD,Y,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,EASTCLEVEBUTCHERRDSOUTHFAIRFAXRD,NONE
MONROE SD,BLOOMINGTON,4/16/2020,8:46 AM,1,0,0,0,0,,,,S FAIRFAX RD,E HARBOR DR,,30,N,0,0,COUNTY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,EASTHARBORRDSOUTHFAIRFAXRD,NONE
MONROE SD,BLOOMINGTON,4/16/2020,11:32 AM,2,0,0,0,0,,,,W WOODYARD RD,N CURRY PIKE,,,,,,COUNTY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,REAR END,CURRYPIKEWOODYARDRD,TRAFFIC CONTROL SIGNAL
MONROE SD,BLOOMINGTON,4/16/2020,3:39 PM,2,0,1,0,0,,,,SR 46,N CURRY PIKE,,200,W,0,0,STATE ROAD,N,RURAL,N,Y,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NCURRYPIKESR46W,TRAFFIC CONTROL SIGNAL
ISP BLOOMINGTON 33,BLOOMINGTON,4/16/2020,5:45 PM,1,,0,0,0,,,,SR 46,E BENDER RD,,739,E,39.16385217,-86.43659705,STATE ROAD,,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,OVERCORRECTING/OVERSTEERING,RAN OFF ROAD,,
BLOOMINGTON PD,BLOOMINGTON,4/17/2020,10:32 AM,3,0,2,0,0,,,,S PATTERSON DR,W 3RD ST (N),,,,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,BRAKE FAILURE OR DEFECTIVE,REAR END,PATTERSONDRW3RDST,TRAFFIC CONTROL SIGNAL
