Agency,Local Code,County,Township,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Unique Location Id,State Property Damage?,Traffic Control,DateTime,Address Number
BLOOMINGTON PD,51113272,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,2.0,0.0,0.0,1107.0,JACKSON,ST,,,,N JACKSON ST,,,,,Y,PRIVATE,,,39.17782237,-86.53966106,OTHER,,Y,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,GRAVEL,UNSAFE BACKING,UNDER $1001,BACKING CRASH,NORTHJACKSONST,0,NONE,2013-05-11 20:39:00,
BLOOMINGTON PD,60613233,MONROE,PERRY,BLOOMINGTON,2,0.0,1.0,0.0,0.0,2602.0,E ASTGATE,LN,,,,E ASTGATE LN,,,,,Y,PRIVATE,,,39.168434,-86.498863,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,BRAKE FAILURE OR DEFECTIVE,$1001 TO $2500,LEFT TURN,EEASTGATELN,1,NONE,2013-06-06 17:35:00,
BLOOMINGTON PD,90913092,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,N MORTON,ST,,,,N MORTON ST,W 6TH,,,,Y,OTHER,50.0,N,39.167664,-86.536,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,NMORTONSTW6THST,1,NONE,2013-09-09 10:54:00,
INDIANA UNIV BLOOMINGTON PD,132352,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,FEE,LN,,,,FEE LN,E 17TH,,,,Y,OTHER,369.0,S,39.17802255,-86.51883073,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,VIEW OBSTRUCTED,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,EAST17THSTFEELN,1,NONE,2013-09-10 18:45:00,
BLOOMINGTON PD,91113126,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,6TH,ST,,,,W 6TH ST,MORTON,,,,Y,OTHER,,,39.167664,-86.536,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,HEAD ON BETWEEN TWO MOTOR VEHICLES,NMORTONSTW6THST,1,STOP SIGN,2013-09-11 11:50:00,
INDIANA UNIV BLOOMINGTON PD,132384,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,KIRKWOOD,AVE,,,,KIRKWOOD AVE,INDIANA,,,,Y,OTHER,50.0,W,39.16664,-86.52707241,LOCAL/CITY RD,,N,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,HEAD ON BETWEEN TWO MOTOR VEHICLES,INDIANAAVEKIRKWOODAVE,1,NONE,2013-09-13 04:38:00,
BLOOMINGTON PD,100313002,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,N GRANT,ST,,,,N GRANT ST,E 17TH,,,,Y,OTHER,,,39.17896484,-86.52969872,LOCAL/CITY RD,,N,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,WET,NONE,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT TURN,E17THSTNGRANTST,1,LN CONTROL,2013-10-03 00:06:00,
ISP BLOOMINGTON 33,2.013E+11,MONROE,VAN BUREN,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,KIRBY,RD,,,,KIRBY RD,,ST RD 45,,,N,OTHER,,,39.15134698,-86.61031799,COUNTY RD,,N,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,CONCRETE,DISREGARD SIGNAL/REG SIGN,$1001 TO $2500,HEAD ON BETWEEN TWO MOTOR VEHICLES,KIRBYRDST RD 45,1,OFFICER/CROSSING GUARD/FLAGMAN,2013-11-08 14:35:00,
BLOOMINGTON PD,111213135,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,DUNN,ST,,,,DUNN ST,4TH,,,,Y,OTHER,,,39.16555971,-86.52822978,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT TURN,4THSTDUNNST,1,STOP SIGN,2013-11-11 23:40:00,
INDIANA UNIV BLOOMINGTON PD,133344,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,10TH,ST,,,,10TH ST,EAGLESON AVE,,,,Y,OTHER,100.0,W,39.17158999,-86.51565163,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,UNDER $1001,OPPOSITE DIRECTION SIDESWIPE,10THSTEAGLESON AVEAVE,1,NONE,2013-11-21 18:45:00,
BLOOMINGTON PD,13114235,MONROE,PERRY,BLOOMINGTON,1,0.0,1.0,0.0,0.0,4001.0,W 3RD,ST,,,,W 3RD ST,,,,,Y,OTHER,,,39.16460015,-86.58302865,LOCAL/CITY RD,,N,Y,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,WEST3RDST,1,NONE,2014-01-31 13:40:00,
INDIANA UNIV BLOOMINGTON PD,140665,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,FEE,LN,,,,FEE LN,E 17TH,,,,Y,OTHER,307.0,S,39.17818781,-86.51884063,LOCAL/CITY RD,,N,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,EAST17THSTFEELN,1,NONE,2014-02-28 14:00:00,
INDIANA UNIV BLOOMINGTON PD,140851,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,N EAGLESON AVE (EXTENSION),AVE,,,,N EAGLESON AVE (EXTENSION) AVE,17TH,,,,Y,OTHER,500.0,N,39.178848,-86.511088,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,PEDESTRIAN ACTION,$1001 TO $2500,SAME DIRECTION SIDESWIPE,17THSTNORTHEAGLESON AVE(EXTENSION)AVE,1,LN CONTROL,2014-03-24 07:54:00,
MONROE SD,M14A1008,MONROE,VAN BUREN,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,W GIFFORD,RD,,,,W GIFFORD,PARK SQUARE,,,,N,OTHER,200.0,S,39.154448,-86.591696,LOCAL/CITY RD,,N,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,NONE,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,RAN OFF RD RIGHT,,RAN OFF RD,PARKSQUAREDRWGIFFORDRD,1,NONE,2014-04-01 20:41:00,
BLOOMINGTON PD,41714104,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,DUNN,ST,,,,DUNN ST,KIRKWOOD,,,,Y,OTHER,,,39.16664,-86.528192,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,RIGHT ANGLE,DUNNSTKIRKWOODAVE,1,STOP SIGN,2014-04-17 13:15:00,
BLOOMINGTON PD,50614181,MONROE,PERRY,BLOOMINGTON,1,0.0,1.0,0.0,0.0,520.0,WALNUT,ST,,,,S WALNUT ST,,,,,Y,PRIVATE,,,39.16101225,-86.5336,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,SOUTHWALNUTST,1,NONE,2014-05-06 16:41:00,
BLOOMINGTON PD,62214216,MONROE,PERRY,BLOOMINGTON,1,0.0,2.0,0.0,0.0,,WALNUT ST,PK,,,,WALNUT ST PK,WINSLOW,,,,Y,PRIVATE,200.0,S,39.136144,-86.528688,LOCAL/CITY RD,,N,Y,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF RD RIGHT,UNDER $1001,HEAD ON BETWEEN TWO MOTOR VEHICLES,WALNUTSTPKWINSLOWRD,1,NONE,2014-06-22 20:58:00,
BLOOMINGTON PD,62314206,MONROE,RICHLAND,BLOOMINGTON,1,0.0,1.0,0.0,0.0,3516.0,W 3RD,ST,,,,W 3RD ST,,,,,Y,PRIVATE,,,39.16482122,-86.5789551,OTHER,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,W 3RDST,1,NONE,2014-06-23 16:00:00,
BLOOMINGTON PD,B1409216,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,INDIANA,AVE,,,,INDIANA AVE,4TH,,,,Y,OTHER,,,39.165648,-86.526848,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,CURBED,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,4THSTINDIANAAVE,1,STOP SIGN,2014-10-06 09:23:00,
INDIANA UNIV BLOOMINGTON PD,142908,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,2.0,0.0,0.0,,3RD,,,,,3RD,INDIANA,,,,Y,OTHER,,,39.164448,-86.5268,LOCAL/CITY RD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT TURN,INDIANAAVE 3RDST,1,TRAFFIC CONTROL SIGNAL,2014-10-20 11:34:00,
BLOOMINGTON PD,B1415372,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,2307.0,E 2ND,,,,,E 2ND,,,,,Y,,,,39.16099258,-86.50557049,OTHER,,N,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,ICE,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,E 2NDST,1,NONE,2014-11-18 08:21:00,
INDIANA UNIV BLOOMINGTON PD,150134,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,7TH,,,,,7TH,WOODLAWN,,,,N,,,,39.16864,-86.523392,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,LEFT TURN,7THSTWOODLAWNAVE,1,NONE,2015-01-20 10:14:00,
BLOOMINGTON PD,B1502515,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,N WALNUT,,,,,N WALNUT,17TH,,,,Y,,276.0,N,39.178944,-86.533392,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,$5001 TO $10000,OTHER - EXPLAIN IN NARRATIVE,17THSTNWALNUTST,1,LN CONTROL,2015-01-20 10:55:00,
BLOOMINGTON PD,B1505996,MONROE,PERRY,BLOOMINGTON,1,0.0,1.0,0.0,0.0,2800.0,E 3RD,,,,,E 3RD,,,,,Y,,,,39.0803299,-86.51473999,OTHER,,Y,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,E 3RDST,1,NONE,2015-02-12 20:07:00,
BLOOMINGTON PD,B1509698,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,1112.0,SUGAR MAPLE,,,,,SUGAR MAPLE,,,,,Y,,,,39.15650725,-86.58816576,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,UNKNOWN,CLEAR,LOOSE MATERIAL ON RD,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,BACKING CRASH,SUGARMAPLECT,1,NONE,2015-03-11 18:58:00,
BLOOMINGTON PD,B1521063,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,GRANT,ST,,,,GRANT,6TH,,,,Y,,,,39.167712,-86.529696,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,LEFT TURN,6THSTGRANTST,1,STOP SIGN,2015-05-23 13:13:00,
INDIANA UNIV BLOOMINGTON PD,152741,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,E 18TH,ST,,,,E 18TH,N DUNN,,,,Y,,,,39.180352,-86.5284,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,E18THSTNDUNNST,1,NONE,2015-10-17 15:50:00,
INDIANA UNIV BLOOMINGTON PD,152990,MONROE,BLOOMINGTON,BLOOMINGTON,2,0.0,2.0,0.0,0.0,,E 3RD,ST,,,,E 3RD,S FESS,,,,Y,,100.0,E,39.164448,-86.525792,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$5001 TO $10000,REAR END,E 3RDSTSFESSAVE,1,LN CONTROL,2015-11-03 22:30:00,
BLOOMINGTON PD,B1600245,MONROE,PERRY,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,WINSLOW,RD,,,,WINSLOW,HENDERSON,,,,Y,,,,39.136144,-86.5268,LOCAL/CITY RD,,N,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,$2501 TO $5000,COLLISION WITH OBJECT IN RD,HENDERSONSTWINSLOWRD,1,NONE,2016-01-02 22:55:00,
BLOOMINGTON PD,B1606544,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,,,ST RD 46E,,,ST RD 46E,COLLEGE MALL,,,,Y,,,,39.16424,-86.4984,ST RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,$1001 TO $2500,COLLISION WITH OBJECT IN RD,COLLEGEMALLRDST RD 46E,1,NONE,2016-02-20 15:39:00,
BLOOMINGTON PD,B1607018,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,1115.0,WALNUT,ST,,,,WALNUT,,,,,Y,,,,39.17698971,-86.53342171,LOCAL/CITY RD,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,WALNUTST,1,NONE,2016-02-23 14:00:00,
INDIANA UNIV BLOOMINGTON PD,161067,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,EAGLESON AVE,AVE,,,,EAGLESON AVE,TENTH,,,,Y,,,,39.17158999,-86.51566028,LOCAL/CITY RD,Y,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,COLLISION WITH OBJECT IN RD,EAGLESON AVEAVETENTHST,1,TRAFFIC CONTROL SIGNAL,2016-04-18 22:20:00,
BLOOMINGTON PD,B1617563,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,2500 W 3RD COZY TABLE,ST,,,,W 3RD COZY TABLE,KIMBLE,,,,Y,,100.0,W,39.16464,-86.568,OTHER,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,2500W 3RDCOZYTABLESTKIMBLEDR,1,NONE,2016-05-08 13:49:00,2500
BLOOMINGTON PD,B1617954,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,JOHNSON,AVE,,,,JOHNSON,3RD,,,,Y,,,,39.16464,-86.564992,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,UNDER $1001,RIGHT ANGLE,3RDSTJOHNSONAVE,1,STOP SIGN,2016-05-11 13:50:00,
BLOOMINGTON PD,B1637208,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,1719.0,W ARLINGTON,RD,,,,W ARLINGTON,,,,,Y,,,,39.18323906,-86.55010961,OTHER,,N,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,MUDDY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,GRAVEL,UNSAFE BACKING,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,WESTARLINGTONRD,0,NONE,2016-09-17 02:29:00,
BLOOMINGTON PD,B1639497,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,17TH,ST,,,,17TH,WALNUT,,,,Y,,,,39.178944,-86.533392,LOCAL/CITY RD,,,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF RD RIGHT,UNDER $1001,RAN OFF RD,17THSTWALNUTST,1,NONE,2016-10-02 21:20:00,
INDIANA UNIV BLOOMINGTON PD,165647,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,KIRKWOOD,AVE,,,,KIRKWOOD,INDIANA,,,,Y,,,,39.16664,-86.526896,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT TURN,INDIANAAVEKIRKWOODAVE,1,STOP SIGN,2016-10-27 08:37:00,
BLOOMINGTON PD,B1645569,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,KIRKWOOD,AVE,,,,KIRKWOOD,COLLEGE,,,,Y,,,,39.16664,-86.5348,LOCAL/CITY RD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,COLLISION WITH OBJECT IN RD,COLLEGEAVEKIRKWOODAVE,1,TRAFFIC CONTROL SIGNAL,2016-11-12 12:12:00,
MONROE SD,M16A25279,MONROE,VAN BUREN,BLOOMINGTON,1,0.0,1.0,0.0,0.0,3585.0,W ST RD 45,HWY,,,,W ST RD 45,,,,,Y,,,,39.14186096,-86.5799179,OTHER,,Y,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,UNDER $1001,BACKING CRASH,WST RD 45HWY,1,NONE,2016-11-09 12:54:00,
INDIANA UNIV BLOOMINGTON PD,162964,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,3RD,ST,,,,3RD,WOODLAWN,,,,Y,,,,0.0,0.0,LOCAL/CITY RD,Y,N,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,$2501 TO $5000,COLLISION WITH OBJECT IN RD,3RDSTWOODLAWNAVE,1,TRAFFIC CONTROL SIGNAL,2016-11-28 22:15:00,
BLOOMINGTON PD,B1649718,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,SMITH,RD,,,,SMITH,MORNINGSIDE,,,,Y,,,,39.166432,-86.4812,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,$1001 TO $2500,RIGHT ANGLE,MORNINGSIDEDRSMITHRD,1,STOP SIGN,2016-12-15 08:59:00,
BLOOMINGTON PD,B1711674,MONROE,PERRY,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,W 2ND,ST,,,,W 2ND,RANSOM,,,,Y,,120.0,E,39.15944,-86.555296,LOCAL/CITY RD,,,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,$1001 TO $2500,COLLISION WITH OBJECT IN RD,RANSOMLNW 2NDST,1,NONE,2017-03-29 21:12:00,
INDIANA UNIV BLOOMINGTON PD,170788,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,2ND,ST,,,,2ND,COLLEGE MALL,,,,Y,,,,39.16094,-86.4977,LOCAL/CITY RD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT TURN,2NDSTCOLLEGEMALLRD,1,TRAFFIC CONTROL SIGNAL,2017-03-30 16:45:00,
BLOOMINGTON PD,B17-37981,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,E 17TH,ST,,,,E 17TH,N LINCOLN,,,,Y,,,,39.17904,-86.530848,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,E17THSTNLINCOLNST,1,NONE,2017-09-16 00:26:00,
BLOOMINGTON PD,B1738315,MONROE,PERRY,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,E VERMILYA,AVE,,,,E VERMILYA,S WALNUT,,,,Y,,,,39.148928,-86.53312,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,EVERMILYAAVESWALNUTST,1,STOP SIGN,2017-09-18 12:31:00,
BLOOMINGTON PD,B1742761,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,1ST,ST,,,,W 1ST,B LINE,,,,Y,,,,0.0,0.0,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,BLINETRLW1STST,1,NONE,2017-10-17 17:42:00,
BLOOMINGTON PD,B1803402,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,S ROGERS,ST,,,,S ROGERS,W 1ST,,,,Y,,,,39.17664,-86.538496,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,UNDER $1001,LEFT TURN,SROGERSSTW1STST,1,STOP SIGN,2018-01-26 09:03:00,
INDIANA UNIV BLOOMINGTON PD,180358,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,EAGLESON AVE,AVE,,,,EAGLESON AVE,JONES,,,,Y,,,,39.16545,-86.516425,LOCAL/CITY RD,,N,Y,URBAN,N,N,N,,DAWN/DUSK,SNOW,SNOW/SLUSH,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER PASSING,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,JONESAVEEAGLESON AVEAVE,1,NONE,2018-02-04 18:30:00,
BLOOMINGTON PD,B1806575,MONROE,PERRY,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,MULLER,PKWY,,,,MULLER,3RD,,,,Y,,,,39.16442,-86.56292,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,COLLISION WITH OBJECT IN RD,3RDSTMULLERPKWY,1,STOP SIGN,2018-02-18 09:59:00,
